Trace,Exp,Core_0_IPC,Filter
403.gcc-16B,nopref,0.37795,1
403.gcc-16B,spp,0.48323,1
403.gcc-16B,bingo,0.59126,1
403.gcc-16B,mlop,0.54099,1
403.gcc-16B,pythia,0.55212,1
403.gcc-16B,nopref_MTPS150,0.18986,1
403.gcc-16B,spp_MTPS150,0.18833,1
403.gcc-16B,bingo_MTPS150,0.14484,1
403.gcc-16B,mlop_MTPS150,0.17187,1
403.gcc-16B,pythia_MTPS150,0.17558,1
403.gcc-16B,nopref_MTPS300,0.28097,1
403.gcc-16B,spp_MTPS300,0.30328,1
403.gcc-16B,bingo_MTPS300,0.25684,1
403.gcc-16B,mlop_MTPS300,0.29684,1
403.gcc-16B,pythia_MTPS300,0.30254,1
403.gcc-16B,nopref_MTPS600,0.33542,1
403.gcc-16B,spp_MTPS600,0.40016,1
403.gcc-16B,bingo_MTPS600,0.39833,1
403.gcc-16B,mlop_MTPS600,0.42361,1
403.gcc-16B,pythia_MTPS600,0.43068,1
403.gcc-16B,nopref_MTPS1200,0.36554,1
403.gcc-16B,spp_MTPS1200,0.45867,1
403.gcc-16B,bingo_MTPS1200,0.52824,1
403.gcc-16B,mlop_MTPS1200,0.50535,1
403.gcc-16B,pythia_MTPS1200,0.51201,1
403.gcc-16B,nopref_MTPS4800,0.38272,1
403.gcc-16B,spp_MTPS4800,0.49313,1
403.gcc-16B,bingo_MTPS4800,0.61368,1
403.gcc-16B,mlop_MTPS4800,0.55436,1
403.gcc-16B,pythia_MTPS4800,0.5688,1
403.gcc-16B,nopref_MTPS9600,0.38423,1
403.gcc-16B,spp_MTPS9600,0.49512,1
403.gcc-16B,bingo_MTPS9600,0.61685,1
403.gcc-16B,mlop_MTPS9600,0.55718,1
403.gcc-16B,pythia_MTPS9600,0.5723,1
410.bwaves-1963B,nopref,0.57958,1
410.bwaves-1963B,spp,1.11796,1
410.bwaves-1963B,bingo,0.99482,1
410.bwaves-1963B,mlop,1.13953,1
410.bwaves-1963B,pythia,1.16512,1
410.bwaves-1963B,nopref_MTPS150,0.21889,1
410.bwaves-1963B,spp_MTPS150,0.24242,1
410.bwaves-1963B,bingo_MTPS150,0.23678,1
410.bwaves-1963B,mlop_MTPS150,0.24349,1
410.bwaves-1963B,pythia_MTPS150,0.2428,1
410.bwaves-1963B,nopref_MTPS300,0.35845,1
410.bwaves-1963B,spp_MTPS300,0.47972,1
410.bwaves-1963B,bingo_MTPS300,0.41857,1
410.bwaves-1963B,mlop_MTPS300,0.4699,1
410.bwaves-1963B,pythia_MTPS300,0.47893,1
